id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt
68407277,3600,3600,3600,36 months,13.99,123.03,C,C4,leadman,10+ years,MORTGAGE,55000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68407277,,debt_consolidation,Debt consolidation,190xx,PA,5.91,0,4421.723917,4421.72,3600,821.72,0,0,0,Jan-19,122.67
68355089,24700,24700,24700,36 months,11.99,820.28,C,C1,Engineer,10+ years,MORTGAGE,65000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68355089,,small_business,Business,577xx,SD,16.06,1,25679.66,25679.66,24700,979.66,0,0,0,Jun-16,926.35
68341763,20000,20000,20000,60 months,10.78,432.66,B,B4,truck driver,10+ years,MORTGAGE,63000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68341763,,home_improvement,,605xx,IL,10.78,0,22705.92429,22705.92,20000,2705.92,0,0,0,Jun-17,15813.3
66310712,35000,35000,35000,60 months,14.85,829.9,C,C5,Information Systems Officer,10+ years,MORTGAGE,110000,Source Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66310712,,debt_consolidation,Debt consolidation,076xx,NJ,17.06,0,31464.01,31464.01,19102.35,12361.66,0,0,0,Feb-19,829.9
68476807,10400,10400,10400,60 months,22.45,289.91,F,F1,Contract Specialist,3 years,MORTGAGE,104433,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476807,,major_purchase,Major purchase,174xx,PA,25.37,1,11740.5,11740.5,10400,1340.5,0,0,0,Jul-16,10128.96
68426831,11950,11950,11950,36 months,13.44,405.18,C,C3,Veterinary Tecnician,4 years,RENT,34000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426831,,debt_consolidation,Debt consolidation,300xx,GA,10.2,0,13708.94853,13708.95,11950,1758.95,0,0,0,May-17,7653.56
68476668,20000,20000,20000,36 months,9.17,637.58,B,B2,Vice President of Recruiting Operations,10+ years,MORTGAGE,180000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476668,,debt_consolidation,Debt consolidation,550xx,MN,14.67,0,21393.8,21393.8,20000,1393.8,0,0,0,Nov-16,15681.05
67275481,20000,20000,20000,36 months,8.49,631.26,B,B1,road driver,10+ years,MORTGAGE,85000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67275481,,major_purchase,Major purchase,293xx,SC,17.61,1,21538.50898,21538.51,20000,1538.51,0,0,0,Jan-17,14618.23
68466926,10000,10000,10000,36 months,6.49,306.45,A,A2,SERVICE MANAGER,6 years,RENT,85000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466926,,credit_card,Credit card refinancing,160xx,PA,13.07,0,10998.97157,10998.97,10000,998.97,0,0,0,Aug-18,1814.48
68616873,8000,8000,8000,36 months,11.48,263.74,B,B5,Vendor liaison,10+ years,MORTGAGE,42000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68616873,,credit_card,Credit card refinancing,029xx,RI,34.8,0,8939.580503,8939.58,8000,939.58,0,0,0,Apr-17,4996.24
68356421,22400,22400,22400,60 months,12.88,508.3,C,C2,Executive Director,6 years,MORTGAGE,95000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68356421,,debt_consolidation,Debt consolidation,290xx,SC,22.98,0,19275.33,19275.33,12487.12,6788.21,0,0,0,Feb-19,508.3
68426545,16000,16000,16000,60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426545,,debt_consolidation,Debt consolidation,786xx,TX,26.4,0,13768.04,13768.04,8919.3,4848.74,0,0,0,Feb-19,363.07
68338832,1400,1400,1400,36 months,12.88,47.1,C,C2,Logistics Manager,3 years,MORTGAGE,64000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68338832,,other,,275xx,NC,34.95,0,1575.160698,1575.16,1400,175.16,0,0,0,Mar-17,965.36
66624733,18000,18000,18000,60 months,19.48,471.7,E,E2,Software Manager,7 years,RENT,150000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66624733,,debt_consolidation,Debt consolidation,916xx,CA,9.39,0,9452.74,9452.74,3481.86,4351.98,0,1618.9,291.402,May-17,471.7
68466961,28000,28000,28000,36 months,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466961,,debt_consolidation,Debt consolidation,275xx,NC,21.6,0,29939.017729337003,29939.02,28000,1939.02,0,0,0,May-17,17093.51
68354783,9600,9600,9600,36 months,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68354783,,credit_card,Credit card refinancing,299xx,SC,22.44,0,10636.098427692801,10636.1,9600,1036.1,0,0,0,Feb-18,3480.17
68466916,25000,25000,25000,36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466916,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,26224.23,26224.23,25000,1224.23,0,0,0,Sep-16,20807.39
68577849,18000,18000,18000,60 months,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68577849,,debt_consolidation,Debt consolidation,856xx,AZ,8.68,0,18387.22,18387.22,18000,387.22,0,0,0,Mar-16,18004.9
68506798,23000,23000,23000,60 months,8.49,471.77,B,B1,Teacher,5 years,RENT,64000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68506798,,credit_card,Credit card refinancing,117xx,NY,18.28,0,17900.14,17900.14,13419.8,4480.34,0,0,0,Feb-19,471.77
68495092,8650,8650,8650,36 months,19.89,320.99,E,E3,Program Coordinator ,8 years,RENT,55000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68495092,,debt_consolidation,Debt consolidation,462xx,IN,25.49,0,9190.49,9190.49,8650,540.49,0,0,0,May-16,8251.42
68566886,29900,29900,29900,60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566886,,debt_consolidation,Debt consolidation,219xx,MD,21.77,0,34033.21418,34033.21,29900,4133.21,0,0,0,Mar-17,25234.24
68009401,16000,16000,16000,60 months,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68009401,,credit_card,Credit card refinancing,297xx,SC,33.18,0,19498.09211,19498.09,16000,3498.09,0,0,0,Sep-17,12322.68
